codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2,estrato_predominante,pct_predominante,fuente,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
0306,El Pomar,MANRIQUE,1.0,0.1731369439628065,5.775774812190407,2.0,54.49,ECV 2022 (Ficha Caracterización Territorial 3),1375.0,1.9133537236497051,0.07272727272727272,0.07020425867324853,0.44841269841269843,0.2811320754716981,0.16728062294100032
0205,La Francia,SANTA CRUZ,3.0,0.2840342276499433,10.562107337631634,2.0,87.46,ECV 2022 (Ficha Caracterización Territorial 2),4198.0,2.447733142273275,0.07146260123868509,0.06902463213868269,0.4444444444444444,0.2811320754716981,0.1633123689727463
1615,Los Alpes,BELEN,23.0,0.2626868982073467,87.55670784100317,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),2994.0,4.48364311337565,0.7682030728122912,0.5699638178074729,0.7380952380952381,0.5754716981132075,0.1626235399820306
0710,Lopez de Mesa,ROBLEDO,1.0,0.1687939527732503,5.92438285596257,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),1461.0,1.9350489298295799,0.06844626967830253,0.06620550876473258,0.4365079365079365,0.2811320754716981,0.1553758610362384
0703,San German,ROBLEDO,2.0,0.3672189129096721,5.4463425757484245,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),2964.0,1.8635129274586466,0.06747638326585695,0.06529734247156699,0.43253968253968256,0.2811320754716981,0.15140760706798445
0914,Asomadera No. 1,BUENOS AIRES,31.0,0.6073837034047835,51.03857714032282,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),4729.0,3.9519853116164567,0.6555297102981603,0.5041210242640384,0.7222222222222222,0.5754716981132075,0.14675052410901468
0515,Cementerio Universal,CASTILLA,1.0,0.0967980852931363,10.330782855587191,3.0,83.03,ECV 2022 (Ficha Caracterización Territorial 5),155.0,2.4275231684681953,0.6451612903225806,0.4978384282391795,0.7142857142857143,0.5754716981132075,0.13881401617250677
1612,La Gloria,BELEN,32.0,0.6379818583023658,50.15816607254354,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),5060.0,3.934922129167101,0.6324110671936759,0.49005810423351254,0.7103174603174603,0.5754716981132075,0.13484576220425282
0203,Pablo VI,SANTA CRUZ,1.0,0.0770049657908759,12.986175498288272,2.0,87.46,ECV 2022 (Ficha Caracterización Territorial 2),1576.0,2.6380693773431076,0.06345177664974619,0.06152001062420391,0.4126984126984127,0.2811320754716981,0.13156633722671457
1015,Bombona No. 1,LA CANDELARIA,136.0,0.213706948779716,636.385483843979,4.0,51.57,ECV 2022 (Ficha Caracterización Territorial 10),3544.0,6.457374627710693,3.837471783295711,1.5763922254284413,0.9206349206349206,0.7924528301886793,0.1281820904462413
