codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2
0702,B. Cerro El Volador,ROBLEDO,3.0,1.1388170317140152,2.6343125510555003
0715,Villa Flora,ROBLEDO,3.0,0.20886624963991202,14.363258808792885
0724,Monteclaro,ROBLEDO,2.0,0.44227468655306346,4.52207657550404
0718,Cucaracho,ROBLEDO,1.0,0.6494259300042979,1.5398214850974337
0707,Bosques de San Pablo,ROBLEDO,6.0,0.2692507726976249,22.284058611553718
0703,San German,ROBLEDO,2.0,0.3672189129096721,5.4463425757484245
0720,Santa Margarita,ROBLEDO,0.0,0.5106080266468191,0.0
0713,Aures No.1,ROBLEDO,1.0,0.7357592973807039,1.3591401475455227
0710,Lopez de Mesa,ROBLEDO,1.0,0.16879395277325035,5.92438285596257
0701,Universidad Nacional,ROBLEDO,0.0,0.462051649613759,0.0
0704,Facultad Veterinaria y Zootecnia,ROBLEDO,0.0,0.0933935609662689,0.0
0716,Palenque,ROBLEDO,1.0,0.39250005686728984,2.5477703315037097
0711,El Diamante,ROBLEDO,1.0,0.3980242003254816,2.512410047384699
0723,Pajarito,ROBLEDO,0.0,0.2749666074112572,0.0
0712,Aures No. 2,ROBLEDO,1.0,0.46090179422902355,2.1696595945623436
0706,La Pilarica,ROBLEDO,7.0,0.3170883074291713,22.07586920108558
0722,Olaya Herrera,ROBLEDO,0.0,0.5245343598247071,0.0
0714,Bello Horizonte,ROBLEDO,0.0,0.17272334412678364,0.0
0717,Robledo,ROBLEDO,4.0,0.5203101483239786,7.6877224341765915
0705,Facultad de Minas,ROBLEDO,0.0,0.32710068222198924,0.0
0709,Cordoba,ROBLEDO,12.0,0.24614750534120983,48.7512558104767
0719,Fuente Clara,ROBLEDO,0.0,0.20027536290134998,0.0
0708,Altamira,ROBLEDO,2.0,0.37685334753743105,5.307104243783717
0813,Villatina,VILLA HERMOSA,0.0,0.43242656611134433,0.0
0806,Llanaditas,VILLA HERMOSA,0.0,0.26323269123796333,0.0
0801,Villa Hermosa,VILLA HERMOSA,2.0,0.3917420529645444,5.105400313458343
0805,Batallon Girardot,VILLA HERMOSA,0.0,0.21571718619054187,0.0
0811,Trece de Noviembre,VILLA HERMOSA,0.0,-0.10627468250459969,-0.0
0803,San Miguel,VILLA HERMOSA,20.0,0.3813349306672402,52.447332755499296
0802,La Mansion,VILLA HERMOSA,6.0,0.2705546868158946,22.17666258386735
0809,Sucre,VILLA HERMOSA,9.0,0.3485887469467614,25.81838937380998
0817,La Sierra,VILLA HERMOSA,0.0,0.2303010126870217,0.0
0815,Las Estancias,VILLA HERMOSA,0.0,0.28847216710361384,0.0
0804,La Ladera,VILLA HERMOSA,1.0,0.5825912971686042,1.7164691694846859
0812,La Libertad,VILLA HERMOSA,0.0,0.2731583899979594,0.0
0810,El Pinal,VILLA HERMOSA,1.0,0.432163421207867,2.313939475037172
0807,Los Mangos,VILLA HERMOSA,0.0,0.43311241627899977,0.0
0819,Villa Liliam,VILLA HERMOSA,0.0,0.1344980493879855,0.0
0808,Enciso,VILLA HERMOSA,2.0,0.31501897216711333,6.348823965240503
0814,San Antonio,VILLA HERMOSA,0.0,0.13425990682046263,0.0
0816,Villa Turbay,VILLA HERMOSA,0.0,0.19015273063121874,0.0
0508,Belalcazar,CASTILLA,0.0,0.1497255363780079,0.0
0509,Girardot,CASTILLA,2.0,0.5097117955052823,3.9237859857988577
0516,Terminal de Transporte,CASTILLA,0.0,0.2803825089326704,0.0
0512,Oleoducto,CASTILLA,0.0,0.2661825603554361,0.0
0517,Caribe,CASTILLA,3.0,0.47317289392197537,6.340177213309877
0501,Toscana,CASTILLA,0.0,0.29226834318161393,0.0
0511,Castilla,CASTILLA,0.0,0.5629532647462223,0.0
0510,Tricentenario,CASTILLA,2.0,0.4340085064260003,4.608204609789153
0513,Francisco Antonio Zea,CASTILLA,1.0,0.2108590540779935,4.742504439150692
0519,El Progreso,CASTILLA,1.0,0.3915328239444675,2.5540642797852207
0514,Alfonso Lopez,CASTILLA,3.0,0.3655270790821037,8.207326273975308
0515,Cementerio Universal,CASTILLA,1.0,0.09679808529313637,10.330782855587193
0502,Las Brisas,CASTILLA,3.0,0.41309044697438535,7.262332067887356
0505,Boyaca,CASTILLA,1.0,0.27635187485103896,3.618575052327858
0503,Florencia,CASTILLA,1.0,0.24794618335135246,4.0331332649833485
0506,Plaza de Ferias,CASTILLA,0.0,0.3082856313636403,0.0
0504,Tejelo,CASTILLA,4.0,0.4318007849214149,9.263531099712974
0507,Hector Abad Gomez,CASTILLA,0.0,0.23277871313206128,0.0
0610,Mirador del Doce,DOCE DE OCTUBRE,0.0,0.04801785034076369,0.0
0611,El Progreso No.2,DOCE DE OCTUBRE,0.0,0.1104900967096122,0.0
0609,Picachito,DOCE DE OCTUBRE,0.0,0.09108827499188026,0.0
0601,Santander,DOCE DE OCTUBRE,0.0,0.42263789345339947,0.0
0606,San Martin de Porres,DOCE DE OCTUBRE,0.0,0.2959960603894307,0.0
0607,Kennedy,DOCE DE OCTUBRE,0.0,0.4940116693930654,0.0
0604,Pedregal,DOCE DE OCTUBRE,2.0,0.5338399944603847,3.7464409200394155
0603,Doce de Octubre No.2,DOCE DE OCTUBRE,2.0,0.41509878452608023,4.818130224793135
