id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
1025667601575312593,6.2596,-75.6125,Entire home/apt,Entire home,129,61.73,Medellin
787603077320747329,6.2053,-75.583,Private room,Room in hotel,2,61.73,Medellin
45928173,6.2435,-75.56168,Entire home/apt,Entire serviced apartment,122,37.46,Medellin
38109245,6.24633,-75.55969,Entire home/apt,Entire rental unit,48,33.0,Medellin
684283600029337360,6.2527,-75.587,Private room,Private room in bed and breakfast,14,32.51,Medellin
1659489784427482207,6.2064,-75.5748,Private room,Private room in rental unit,9,32.78,Medellin
832066821710913694,6.2595,-75.5974,Entire home/apt,Entire rental unit,79,36.21,Medellin
1725808602860706567,6.2213,-75.608,Entire home/apt,Entire rental unit,0,33.24,Medellin
49089518,6.20182,-75.58559,Private room,Private room,266,33.09,Medellin
1575620070457172265,6.2507,-75.596,Private room,Private room in home,3,32.42,Medellin
1203834515055651660,6.245,-75.5941,Private room,Private room in rental unit,58,32.86,Medellin
802052951044622664,6.24355,-75.58099,Entire home/apt,Entire rental unit,74,32.74,Medellin
828363171171530221,6.23928,-75.59075,Private room,Room in hotel,0,33.12,Medellin
46408557,6.26612,-75.56624,Private room,Private room in bed and breakfast,20,34.74,Medellin
1436439689374576779,6.2581,-75.5969,Private room,Private room in rental unit,33,35.83,Medellin
1501067936269946332,6.23785,-75.58424,Entire home/apt,Entire rental unit,11,32.37,Medellin
1098732737453925612,6.2495,-75.598,Private room,Private room in rental unit,7,27.46,Medellin
1020252818917987971,6.2401,-75.5936,Entire home/apt,Entire rental unit,52,60.88,Medellin
1639532419203558453,6.16142,-75.59565,Private room,Private room in guesthouse,1,32.83,Medellin
1671948528717777375,6.232143311232191,-75.60506797133361,Private room,Private room in rental unit,2,32.13,Medellin
729492969613870684,6.2402,-75.5817,Private room,Private room in home,23,33.5,Medellin
1563099756319243728,6.2458,-75.5916,Private room,Private room in rental unit,5,32.2,Medellin
37973147,6.24475,-75.60721,Entire home/apt,Entire rental unit,39,62.57,Medellin
48844181,6.18038,-75.55328,Entire home/apt,Entire loft,13,62.57,Medellin
18892365,6.2589,-75.5639,Private room,Private room in hostel,6,32.25,Medellin
1443901718570715754,6.17498,-75.58619,Private room,Private room in rental unit,27,49.88,Medellin
1397505135083364193,6.2448,-75.6059,Private room,Private room in rental unit,46,47.91,Medellin
1649269746453425847,6.206931080537957,-75.56142860073494,Private room,Private room in rental unit,0,76.25,Medellin
1169545227483355642,6.24146,-75.60039,Entire home/apt,Entire home,0,33.12,Medellin
48904782,6.15928,-75.60521,Entire home/apt,Entire loft,219,63.4,Medellin
1639495226531819427,6.1608,-75.59531,Private room,Private room in guesthouse,1,32.83,Medellin
53120443,6.2538,-75.61643,Entire home/apt,Entire rental unit,27,25.45,Medellin
1118899592223982908,6.2081,-75.5599,Entire home/apt,Entire rental unit,21,60.6,Medellin
832066808120820446,6.2595,-75.5974,Entire home/apt,Entire rental unit,129,38.49,Medellin
914736772426400775,6.2564,-75.5992,Entire home/apt,Entire rental unit,45,37.0,Medellin
541138758723058956,6.21269,-75.57445,Private room,Private room in rental unit,68,32.94,Medellin
1695187099964627363,6.204660671127012,-75.5136875076442,Entire home/apt,Hut,2,44.4,Medellin
878482987070771961,6.24061,-75.58213,Private room,Private room in home,13,33.12,Medellin
50692349,6.2458,-75.6025,Private room,Room in boutique hotel,81,36.02,Medellin
1264014683313363050,6.232615552930005,-75.59346165651807,Entire home/apt,Entire rental unit,121,37.02,Medellin
1681224750100154098,6.2375,-75.5595,Entire home/apt,Entire rental unit,6,41.65,Medellin
1074626685494192097,6.23049,-75.60361,Private room,Private room in guesthouse,0,33.12,Medellin
1599615823626005887,6.25781,-75.59315,Private room,Room in hotel,3,34.81,Medellin
1716264870439740113,6.2774,-75.5952,Entire home/apt,Entire rental unit,0,47.25,Medellin
806482804437082953,6.25816,-75.59228,Private room,Private room in home,29,32.6,Medellin
1414741120866861219,6.245772013181149,-75.60502066013076,Private room,Private room in rental unit,51,49.75,Medellin
1577152319128539715,6.24943,-75.59139,Entire home/apt,Entire rental unit,22,36.2,Medellin
933228964536768839,6.255,-75.5554,Entire home/apt,Entire rental unit,72,38.62,Medellin
1344029758576598059,6.330859359640065,-75.55668427428162,Entire home/apt,Entire serviced apartment,61,36.85,Medellin
1033428538429851231,6.25258,-75.55954,Entire home/apt,Entire rental unit,19,33.13,Medellin
1387777577838232605,6.2392,-75.5889,Entire home/apt,Entire loft,62,36.4,Medellin
1507545090401480403,6.2395,-75.5883,Entire home/apt,Entire loft,51,38.4,Medellin
1095230734874890547,6.2569,-75.6021,Private room,Private room in home,22,34.32,Medellin
53608899,6.2468,-75.5552,Entire home/apt,Entire loft,82,39.17,Medellin
957901758754652878,6.24482,-75.59818,Private room,Private room in home,76,36.55,Medellin
6867074,6.29873,-75.57874,Entire home/apt,Entire home,14,36.4,Medellin
51394259,6.1693,-75.59287,Entire home/apt,Entire serviced apartment,217,38.94,Medellin
1477112103457029009,6.24733,-75.59423,Entire home/apt,Entire rental unit,40,36.2,Medellin
1689198239472967387,6.173404677024093,-75.56003620871579,Private room,Room in hotel,4,38.94,Medellin
53376250,6.3386,-75.55208,Entire home/apt,Entire serviced apartment,37,38.17,Medellin
808203014653094053,6.2573,-75.5621,Private room,Room in hotel,0,33.48,Medellin
776773296919423395,6.24176,-75.57814,Entire home/apt,Entire rental unit,4,33.06,Medellin
1728345233341045804,6.3464,-75.5066,Entire home/apt,Entire rental unit,0,38.52,Medellin
1405306248822755419,6.2391,-75.5885,Entire home/apt,Entire loft,188,38.6,Medellin
1075668762861881759,6.23797,-75.59926,Private room,Private room in home,69,38.44,Medellin
33433083,6.2471,-75.5906,Entire home/apt,Entire rental unit,171,39.01,Medellin
957905512008836845,6.24523,-75.59975,Private room,Private room in home,37,38.39,Medellin
