barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
SAN JOSE,Suroriental,92.59,10.0,0.925189591876152,10.808595435797578,3.0,3925.0,2.468827693060117,0.25477707006369427,0.22695792338968046,0.6193181818181818,0.6420454545454546,-0.022727272727272818
ALTOS DEL LIMON,Riomar,32.67,88.0,0.3263851826487613,269.6200828905306,6.0,2263.0,5.600715929134064,3.8886433937251432,1.5869148404013733,0.9431818181818182,0.9715909090909091,-0.02840909090909083
ATLANTICO,Suroriental,16.84,2.0,0.1682976181242936,11.88370948020744,3.0,874.0,2.5559636823329654,0.2288329519450801,0.20606489941327455,0.6136363636363636,0.6420454545454546,-0.02840909090909094
ANDALUCIA,Riomar,28.11,25.0,0.2809085948850107,88.99692090316316,5.0,1262.0,4.499775457557939,1.9809825673534072,1.092252966759817,0.8636363636363636,0.9034090909090909,-0.03977272727272729
LA UNION,Suroriental,52.14,4.0,0.520933962163575,7.678516454152756,3.0,1867.0,2.1608505986443647,0.21424745581146223,0.19412450696580638,0.6022727272727273,0.6420454545454546,-0.03977272727272729
LA ALBORAYA,Suroriental,34.46,3.0,0.3442938218731231,8.713487752055975,3.0,1723.0,2.27351540957615,0.17411491584445735,0.16051460063981585,0.5909090909090909,0.6420454545454546,-0.051136363636363646
PASEO DE LA CASTELLANA,Riomar,43.94,33.0,0.4390634942238293,75.1599721546811,6.0,966.0,4.332836024866986,3.4161490683229814,1.485268064818778,0.9204545454545454,0.9715909090909091,-0.051136363636363646
VILLA SANTOS,Riomar,65.77,54.0,0.6571416465544857,82.17406442451474,5.0,3074.0,4.420935573563727,1.756668835393624,1.0140230070879634,0.8409090909090909,0.9034090909090909,-0.0625
BOSTON,Norte - Centro Historico,97.06,41.0,0.9697576712756122,42.278603422717865,4.0,4182.0,3.7676583655960982,0.9803921568627451,0.6832948841169336,0.7528409090909091,0.8153409090909091,-0.0625
EL RECREO,"Norte - Centro Historico, Suroccidente",112.49,45.0,1.1240249751704392,40.03469762153329,4.0,4590.0,3.7144179922604055,0.9803921568627451,0.6832948841169336,0.7528409090909091,0.8153409090909091,-0.0625
